material,m,M0,M1,p_prot,A_mat,q,x_T,C_T,T,Oc,delta_aic,verdict
"NV(0, -1)",1,0.0,0.1414213562373095,0.0,0.1414213562373095,1.1819887429643527e-05,69.40048032622981,-5.687398239316432e-06,100.0,1.0,-1.9978150919050677,inconclusive
"NV(0, -1)",1,0.0,0.1414213562373095,0.0,0.1414213562373095,1.1819887429643527e-05,333.900747399885,-2.435604656641843e-07,150.0,1.0,-2.0047216546881828,inconclusive
"NV(0, -1)",1,0.0,0.1414213562373095,0.0,0.1414213562373095,1.1819887429643527e-05,2504.602509204359,-3.776658242429451e-09,300.0,1.0,-inf,robust ATS
"NV(-1, 1)",2,0.0,0.0,0.0,8.261499999999998,1.1819887429643527e-05,69.40048032622981,5.560014954283684e-06,100.0,1.0,-1.99888533205376,inconclusive
"NV(-1, 1)",2,0.0,0.0,0.0,8.261499999999998,1.1819887429643527e-05,333.900747399885,1.035686602996168e-08,150.0,1.0,-2.0054742957509006,inconclusive
"NV(-1, 1)",2,0.0,0.0,0.0,8.261499999999998,1.1819887429643527e-05,2504.602509204359,2.8550941863096343e-12,300.0,1.0,-1.935345351579599,inconclusive
SiV-,0,1.0,127.50000096662745,0.0,1.0,2.4705882352941175e-07,0.00027584650431365095,-117.31379787785829,4.0,1.0,-1.9999465364635398,inconclusive
SiV-,0,1.0,127.50000096662745,0.0,1.0,2.4705882352941175e-07,0.003253549262927209,-9.030941090018041,100.0,1.0,-1.9999199301601038,inconclusive
SiV-,0,1.0,127.50000096662745,0.0,1.0,2.4705882352941175e-07,0.009626903069093104,-2.3900564374429747,300.0,1.0,-1.999894376283919,inconclusive
SnV-,0,1.0,1500.0000000821633,0.0,1.0,2.1e-08,0.02700523333333334,-12.9969100551294,4.0,1.0,-1.999999724981535,inconclusive
SnV-,0,1.0,1500.0000000821633,0.0,1.0,2.1e-08,0.04377678692180756,-7.63005889780838,100.0,1.0,-1.9999966568011587,inconclusive
SnV-,0,1.0,1500.0000000821633,0.0,1.0,2.1e-08,0.11467439071016906,-2.2894690397782163,300.0,1.0,-1.9999999580377334,inconclusive
